site_id,siteno,longtitude,latitude,geometry,pop_1km,pop_5km,pop_10km
111,300027064,4.4597084,50.8871216,POINT (4.4597084 50.8871216),6899.634765625,169717.953125,1025514.1875
112,300027129,4.9394789,51.1354992,POINT (4.9394789 51.1354992),791.9791870117188,36942.26953125,135273.671875
113,300027489,3.55578,50.96018,POINT (3.55578 50.96018),190.10946655273438,36377.0546875,120326.0703125
114,300027499,3.555502,50.9598305,POINT (3.555502 50.9598305),192.19723510742188,36394.71875,120420.078125
115,300027871,3.4350591,51.1058367,POINT (3.4350591 51.1058367),1692.535888671875,25179.7421875,65634.65625
116,300027878,3.8040599,50.9986113,POINT (3.8040599 50.9986113),4481.2666015625,61261.53125,317867.53125
117,300027879,3.8040599,50.9986113,POINT (3.8040599 50.9986113),4481.2666015625,61261.53125,317867.53125
118,300027898,3.7681359,51.028049,POINT (3.7681359 51.028049),10039.8896484375,180525.78125,390083.625
119,300027900,3.7683918,51.0281795,POINT (3.7683918 51.0281795),9991.107421875,180626.8125,390030.15625
120,300027919,4.0547741,51.0607671,POINT (4.0547741 51.0607671),2336.264892578125,45697.953125,197533.296875
121,300027923,4.0556696,51.0604067,POINT (4.0556696 51.0604067),2095.163330078125,46089.77734375,198018.1875
122,300027931,4.1019222,51.0373918,POINT (4.1019222 51.0373918),5351.912109375,60744.4296875,203219.0625
123,300027960,4.2362771,51.1964555,POINT (4.2362771 51.1964555),1578.5650634765625,50286.70703125,254474.0
124,300027967,4.2361077,51.1964712,POINT (4.2361077 51.1964712),1579.385009765625,50284.51171875,254174.453125
125,300028325,4.1025998,51.0372706,POINT (4.1025998 51.0372706),5298.67626953125,60849.23046875,203110.03125
126,300028358,4.1469307,51.1017709,POINT (4.1469307 51.1017709),4835.3193359375,46835.6015625,239312.65625
127,300028385,4.9400421,51.1342966,POINT (4.9400421 51.1342966),749.7146606445312,36467.49609375,135858.15625
128,300028477,3.97023,51.09644,POINT (3.97023 51.09644),3730.1826171875,43857.8125,139743.734375
129,300028478,3.97025,51.09612,POINT (3.97025 51.09612),3531.5205078125,44078.98046875,139925.921875
141,300036858,3.9961071208376326,51.08342085,POINT (3.9961071208376326 51.08342085),1206.2869873046875,59428.171875,160359.140625
131,300030111,3.558569,51.0276612,POINT (3.558569 51.0276612),1999.1556396484375,24258.615234375,129600.53125
132,300030471,4.8298851,51.245445,POINT (4.8298851 51.245445),2575.77587890625,20331.142578125,126635.515625
133,300030472,4.8297416,51.2453915,POINT (4.8297416 51.2453915),2633.04833984375,20272.564453125,126557.4609375
134,300030476,5.1037658,51.2548405,POINT (5.1037658 51.2548405),866.129638671875,22228.677734375,89079.2890625
135,300030477,5.1040064,51.2544998,POINT (5.1040064 51.2544998),892.5641479492188,22223.533203125,89326.3828125
136,300030728,3.7587918,51.0876313,POINT (3.7587918 51.0876313),3082.8916015625,157419.96875,360624.15625
137,300031561,5.3417576,50.9411605,POINT (5.3417576 50.9411605),6456.783203125,69796.5078125,179353.734375
138,300031574,5.3422472,50.9405318,POINT (5.3422472 50.9405318),6781.9580078125,69785.1953125,179398.625
139,300031607,5.3819796,51.0644267,POINT (5.3819796 51.0644267),2364.092041015625,25980.748046875,121476.15625
140,300031927,5.3438616,50.9300038,POINT (5.3438616 50.9300038),15371.396484375,69185.8984375,170074.796875
142,300036881,3.24095,51.22632,POINT (3.24095 51.22632),8347.6875,95798.3359375,156881.515625
143,100038932,3.26286,50.83066,POINT (3.26286 50.83066),14273.5087890625,113319.4375,255918.234375
144,300038692,4.7153726,50.875576,POINT (4.7153726 50.875576),18583.423828125,119946.921875,205601.59375
145,300052743,4.4908759,50.7885856,POINT (4.4908759 50.7885856),3459.41796875,62715.37109375,542499.9375
146,300052800,4.4902818,50.7881478,POINT (4.4902818 50.7881478),3379.49462890625,62570.78515625,543538.5625
147,300059948,4.4975769,50.7797555,POINT (4.4975769 50.7797555),2867.814697265625,47873.4453125,444945.03125
148,300060140,4.44471001,50.76699493,POINT (4.44471001 50.76699493),177.65077209472656,52604.77734375,680944.9375
149,300060264,4.43356644,50.88297881,POINT (4.43356644 50.88297881),2906.9853515625,318004.6875,1278927.5
150,300061690,4.56136297,50.8687535,POINT (4.56136297 50.8687535),347.1474609375,52224.2890625,294945.1875
151,300061739,4.6854839,50.8690262,POINT (4.6854839 50.8690262),10037.310546875,117941.28125,203142.03125
152,300062103,4.149169474840164,50.968901168564656,POINT (4.149169474840164 50.968901168564656),1585.87255859375,47184.15625,239831.96875
