74,OUT,Kortrijk teller 1 Fietser Aalbeke
75,IN,Kortrijk teller 2  Fietser Aalbeke
75,OUT,Kortrijk teller 2  Fietser Brugse poort
76,IN,Heverlee teller 2 Fietser IN
76,OUT,Heverlee teller 2 Fietser Heverlee
77,OUT,Leuven teller 2 Fietser Leuven
99,OUT,Mechelen_1 Fietser Mechelen / Mechelen teller 1 Fietser Mechelen
103,IN,Malle teller 1 Fietser Rijkevorsel
103,OUT,Malle teller 1 Fietser Oostmalle
104,IN,Malle teller 2 Fietser Oostmalle
104,OUT,Malle teller 2 Fietser Rijkevorsel
111,OUT,Zaventem totem Fietser Diegem
112,IN,Geel teller 2 [Bike IN]
112,OUT,Geel teller 2 [Bike OUT]
113,IN,Deinze teller 2 Fietser Deinze
113,OUT,Deinze teller 2 Fietser Nazareth
114,IN,Deinze teller 1 Fietser Deinze
114,OUT,Deinze teller 1 Fietser Nazareth
115,IN,Aalter Fietser Knesselare
115,OUT,Aalter Fietser Aalter
116,IN,Melle teller 2 Fietser Ovenveldstraat
116,OUT,Melle teller 2 Fietser Pontstraat
117,IN,Melle teller 1 Fietser Pontstraat
117,OUT,Melle teller 1 Fietser Ovenveldstraat
118,IN,Gent teller 1 Fietser Melle
118,OUT,Gent teller 1 Fietser Gent
1,IN/OUT,Machelen [Debug]
119,IN,Gent_2 Fietser Gent / Gent teller 2 Fietser Gent
119,OUT,Gent_2 Fietser Melle / Gent teller 2 Fietser Melle
120,IN,Zele teller 1 Fietser Dendermonde
120,OUT,Zele teller 1 Fietser Lokeren
121,IN,Zele teller 2 Fietser Lokeren
121,OUT,Zele teller 2 Fietser Dendermonde
122,IN,Dendermonde teller 2 Fietser Zele
122,OUT,Dendermonde teller 2 Fietser Dendermonde
123,IN,Beveren teller 1 Fietser Beveren
125,IN,Dendermonde totem [Bike IN]
125,OUT,Dendermonde totem [Bike OUT]
126,IN,Hamme totem [Bike IN] / Hamme totem Fietser IN Elversele
126,OUT,Hamme totem [Bike OUT]
127,IN,Geel totem [Bike IN]
127,OUT,Geel totem [Bike OUT]
128,IN,Lokeren teller 1 Fietser Lokeren
128,OUT,Lokeren teller 1 Fietser Lokeren-Heiende
111,IN,Zaventem totem Fietser Leuven
123,OUT,Beveren teller 1 Fietser Haasdonk
124,IN,Beveren teller 2 Fietser Haasdonk
124,OUT,Beveren teller 2 Fietser Beveren
129,IN,Lokeren teller 2 Fietser Lokeren-Heiende
129,OUT,Lokeren teller 2 Fietser Lokeren
131,IN,Nevele Fietser Nevele
131,OUT,Nevele Fietser Nazareth
132,IN,Gierle Lille 2 Fietser Richting Gierle
132,OUT,Gierle Lille 2 Fietser Richting Lille
133,IN,Gierle_1 [Bike Richting Gierle] / Gierle Lille 1 Totem Fietser Richting Gierle
