site_id,site_name,longitude,latitude,municipality,district_code,road_code,operator,interval_min,install_date,segment_id,road_name,morphology_en,road_category_code,road_category_en,access_en,geometry_method_en,manager_code,manager_label,length_m,dist_to_segment_m,bike_lane_width_m,has_cycleway,bike_lane_source,poi_shop_250m,poi_shop_500m,poi_shop_1000m,poi_education_250m,poi_education_500m,poi_education_1000m,poi_hotel_250m,poi_hotel_500m,poi_hotel_1000m,poi_hospital_250m,poi_hospital_500m,poi_hospital_1000m,sensor_age_days,install_year,bike_width_imputed
9904060,Spaanse-Kroonlaan,4.723200147883503,50.86777281744174,Leuven,AWV214,9904060,Unknown,60,,9904060,Spaanse-Kroonlaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,74.17,0.0,5.0,True,osm_bike_network,0,7,40,0,1,8,0,0,2,1,2,8,0,2026,False
9904064,Hoegaardsestraat,4.7236756227210845,50.8662548831703,Leuven,AWV214,9904064,Unknown,60,,9904064,Hoegaardsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,352.29,0.0,6.0,True,osm_bike_network,1,3,29,0,1,7,0,0,1,0,1,5,0,2026,False
71407869,Hoegaardsestraat,4.722572635231694,50.86790608764793,Leuven,AWV214,71407869,Unknown,60,,71407869,Hoegaardsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,45.34,0.0,5.0,True,osm_bike_network,0,8,40,0,1,8,0,0,2,0,2,9,0,2026,False
30050536,Spaanse-Lindepad,4.7260814628989465,50.86761120115394,Leuven,AWV214,30050536,Unknown,60,,30050536,Spaanse-Lindepad,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,77.54,0.0,1.5,True,osm_bike_network,0,8,30,0,1,6,0,0,1,1,1,7,0,2026,False
16767287,Oudebaan,4.729184638003371,50.86801791403184,Leuven,AWV214,16767287,Unknown,60,,16767287,Oudebaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,402.58,0.0,5.0,True,osm_bike_network,0,7,24,0,0,5,0,0,0,1,1,5,0,2026,False
30050535,Spaanse-Lindelaan,4.726367378959127,50.86829692487261,Leuven,AWV214,30050535,Unknown,60,,30050535,Spaanse-Lindelaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,82.74,0.0,5.0,True,osm_bike_network,0,7,32,0,1,5,0,0,0,1,1,7,0,2026,False
"[419978208, 419978209, 419978210, 419978211, 419978212, 9904108]",Koningin Elisabethlaan,4.727181688873918,50.86960865158996,Leuven,AWV214,"[419978208, 419978209, 419978210, 419978211, 419978212, 9904108]",Unknown,60,,"[419978208, 419978209, 419978210, 419978211, 419978212, 9904108]",Koningin Elisabethlaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,230.24,0.0,5.0,True,osm_bike_network,5,7,32,0,2,5,0,0,0,1,2,6,0,2026,False
16767288,Tiensesteenweg,4.727973715746945,50.87052598561371,Leuven,AWV214,16767288,Unknown,60,,16767288,Tiensesteenweg,divided_road_non_motorway,RW,regional_road,public_road,surveyed,24062,Stad Leuven,23.22,0.0,6.0,True,osm_bike_network,6,8,29,0,2,5,0,0,0,0,2,6,0,2026,False
80341408,Tiensesteenweg,4.727451282503054,50.87064584132773,Leuven,AWV214,80341408,Unknown,60,,80341408,Tiensesteenweg,divided_road_non_motorway,RW,regional_road,public_road,surveyed,24062,Stad Leuven,55.02,0.0,6.0,True,osm_bike_network,6,9,31,1,2,5,0,0,0,0,2,6,0,2026,False
"[80341411, 1432415483]",Unknown,4.727832396950259,50.87059300132777,Leuven,AWV214,"[80341411, 1432415483]",Unknown,60,,"[80341411, 1432415483]",Unknown,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,7.32,0.0,2.5,True,osm_bike_network,6,8,29,1,2,5,0,0,0,0,2,6,0,2026,False
